SECCODE,TIME,OPEN,CLOSE,LOW,HIGH,VOLUME,CHANGE
SBERP,100056,54,54,54,54,100,0
SBERP,100058,54,54,54,54,200,0
SBERP,100100,54,54,54,54,600,0
SBERP,100101,54,54,54,54,2200,0
SBERP,100102,54.03,54.03,54.03,54.08,1100,0
SBERP,100103,54.06,54.06,54.06,54.06,200,0
SBERP,100106,54.06,54.06,54.06,54.06,500,0
SBERP,100107,54.06,54.02,54.02,54.06,1700,-0.074
SBERP,100110,54.06,54.06,54.06,54.06,1000,0
SBERP,100111,54.06,54.06,54.06,54.06,500,0
SBERP,100113,54.08,54.09,54.08,54.09,1000,0.018
SBERP,100115,54.09,54.07,54.05,54.18,30400,-0.037
SBERP,100116,54.05,54.05,54.05,54.05,300,0
SBERP,100117,54.05,54.05,54.05,54.05,200,0
SBERP,100119,54.05,54.05,54.05,54.05,200,0
SBERP,100122,54.05,54.05,54.05,54.05,200,0
SBERP,100125,54.12,54.13,54.12,54.23,30200,0.018
SBERP,100126,54.13,54.1,54.1,54.13,400,-0.055
SBERP,100127,54.08,54.06,54.06,54.08,2000,-0.037
SBERP,100128,54.13,54.09,54.09,54.13,6900,-0.074
SBERP,100129,54.09,54.09,54.09,54.13,3900,0
SBERP,100130,54.09,54.09,54.09,54.09,400,0
SBERP,100131,54.08,54.08,54.08,54.08,100,0
SBERP,100135,54.11,54.11,54.08,54.11,2800,0
SBERP,100143,54.12,54.15,54.12,54.16,5700,0.055
SBERP,100144,54.17,54.17,54.17,54.17,100,0
SBERP,100151,54.17,54.17,54.17,54.17,200,0
SBERP,100158,54.18,54.18,54.18,54.18,500,0
SBERP,100202,54.17,54.26,54.17,54.26,32600,0.166
SBERP,100203,54.17,54.23,54.17,54.23,800,0.111
SBERP,100204,54.17,54.17,54.17,54.17,100,0
SBERP,100207,54.17,54.17,54.17,54.17,700,0
SBERP,100211,54.19,54.19,54.19,54.19,800,0
SBERP,100213,54.19,54.19,54.19,54.19,2000,0
SBERP,100215,54.19,54.19,54.19,54.19,700,0
SBERP,100216,54.2,54.2,54.2,54.2,100,0
SBERP,100218,54.2,54.2,54.2,54.2,5500,0
SBERP,100219,54.19,54.19,54.19,54.19,100,0
SBERP,100220,54.19,54.2,54.19,54.2,2600,0.018
SBERP,100223,54.19,54.19,54.19,54.19,200,0
SBERP,100224,54.22,54.22,54.22,54.22,200,0
SBERP,100225,54.22,54.22,54.22,54.22,4000,0
SBERP,100226,54.2,54.2,54.2,54.2,100,0
SBERP,100227,54.22,54.25,54.22,54.26,2800,0.055
SBERP,100229,54.26,54.26,54.26,54.26,2700,0
SBERP,100235,54.2,54.2,54.2,54.2,2800,0
SBERP,100236,54.2,54.2,54.2,54.2,2400,0
SBERP,100237,54.2,54.2,54.2,54.2,1200,0
SBERP,100238,54.2,54.2,54.2,54.2,1400,0
SBERP,100239,54.25,54.26,54.25,54.26,700,0.018
SBERP,100240,54.2,54.2,54.2,54.2,3300,0
SBERP,100241,54.2,54.2,54.2,54.2,800,0
SBERP,100247,54.19,54.2,54.19,54.2,3000,0.018
SBERP,100250,54.19,54.2,54.19,54.2,1000,0.018
SBERP,100252,54.18,54.18,54.18,54.18,700,0
SBERP,100253,54.18,54.13,54.13,54.18,3200,-0.092
SBERP,100254,54.13,54.13,54.13,54.13,200,0
SBERP,100255,54.19,54.2,54.19,54.2,6500,0.018
SBERP,100257,54.2,54.13,54.13,54.2,23200,-0.129
SBERP,100303,54.14,54.14,54.14,54.14,500,0
SBERP,100305,54.14,54.14,54.14,54.14,1300,0
SBERP,100306,54.18,54.18,54.18,54.18,100,0
SBERP,100307,54.18,54.18,54.18,54.18,600,0
SBERP,100311,54.18,54.18,54.18,54.18,2500,0
SBERP,100314,54.18,54.18,54.18,54.18,3900,0
SBERP,100315,54.18,54.18,54.18,54.18,1500,0
SBERP,100318,54.18,54.18,54.18,54.18,100,0
SBERP,100319,54.18,54.18,54.18,54.18,15500,0
SBERP,100323,54.18,54.18,54.18,54.18,600,0
SBERP,100325,54.18,54.18,54.18,54.18,1100,0
SBERP,100326,54.16,54.16,54.16,54.16,200,0
SBERP,100333,54.16,54.16,54.16,54.16,200,0
SBERP,100335,54.18,54.18,54.18,54.18,29500,0
SBERP,100340,54.17,54.17,54.17,54.17,500,0
SBERP,100343,54.17,54.17,54.17,54.17,1100,0
SBERP,100344,54.17,54.17,54.17,54.17,100,0
SBERP,100346,54.16,54.16,54.16,54.16,300,0
SBERP,100349,54.14,54.13,54.13,54.14,900,-0.018
SBERP,100353,54.13,54.1,54.1,54.13,30000,-0.055
SBERP,100354,54.1,54.09,54.07,54.1,29800,-0.018
SBERP,100401,54.07,54.07,54.07,54.07,6400,0
SBERP,100409,54.08,54.03,54.03,54.08,3700,-0.092
SBERP,100411,54.08,54.08,54.08,54.08,300,0
SBERP,100413,54.1,54.1,54.1,54.1,5600,0
SBERP,100418,54.13,54.13,54.13,54.14,8100,0
SBERP,100419,54.13,54.14,54.13,54.14,6000,0.018
SBERP,100430,54.13,54.16,54.13,54.16,1200,0.055
SBERP,100431,54.18,54.18,54.18,54.18,500,0
SBERP,100432,54.15,54.11,54.11,54.15,2200,-0.074
SBERP,100434,54.11,54.11,54.11,54.11,3000,0
SBERP,100436,54.1,54.1,54.1,54.1,300,0
SBERP,100437,54.1,54.1,54.1,54.1,100,0
SBERP,100439,54.1,54.1,54.1,54.1,500,0
SBERP,100443,54.1,54.09,54.09,54.1,10000,-0.018
SBERP,100447,54.08,54.08,54.08,54.08,5000,0
SBERP,100448,54.07,54.06,54.06,54.07,4300,-0.018
